year,period,periodName,latest,value,footnotes,seriesID
2021,M05,May,,4.1,,JTS000000000000000HIR
2021,M04,April,,4.2,,JTS000000000000000HIR
2021,M03,March,,4.3,,JTS000000000000000HIR
2021,M02,February,,4.1,,JTS000000000000000HIR
2021,M01,January,,3.9,,JTS000000000000000HIR
2020,M12,December,,3.9,,JTS000000000000000HIR
2020,M11,November,,4.1,,JTS000000000000000HIR
2020,M10,October,,4.3,,JTS000000000000000HIR
2020,M09,September,,4.2,,JTS000000000000000HIR
2020,M08,August,,4.3,,JTS000000000000000HIR
2020,M07,July,,4.5,,JTS000000000000000HIR
2020,M06,June,,5.4,,JTS000000000000000HIR
2020,M05,May,,6.1,,JTS000000000000000HIR
2020,M04,April,,3.1,,JTS000000000000000HIR
2020,M03,March,,3.4,,JTS000000000000000HIR
2020,M02,February,,3.9,,JTS000000000000000HIR
2020,M01,January,,3.9,,JTS000000000000000HIR
2019,M12,December,,3.9,,JTS000000000000000HIR
2019,M11,November,,3.9,,JTS000000000000000HIR
2019,M10,October,,3.8,,JTS000000000000000HIR
2019,M09,September,,3.9,,JTS000000000000000HIR
2019,M08,August,,3.9,,JTS000000000000000HIR
2019,M07,July,,3.9,,JTS000000000000000HIR
2019,M06,June,,3.8,,JTS000000000000000HIR
2019,M05,May,,3.8,,JTS000000000000000HIR
2019,M04,April,,4.0,,JTS000000000000000HIR
2019,M03,March,,3.8,,JTS000000000000000HIR
2019,M02,February,,3.8,,JTS000000000000000HIR
2026,M04,April,true,1.9,P,JTS000000000000000QUR
2026,M03,March,,2.0,,JTS000000000000000QUR
2026,M02,February,,1.9,,JTS000000000000000QUR
2026,M01,January,,2.0,,JTS000000000000000QUR
2025,M12,December,,2.0,,JTS000000000000000QUR
2025,M11,November,,2.0,,JTS000000000000000QUR
2025,M10,October,,1.9,,JTS000000000000000QUR
2025,M09,September,,1.9,,JTS000000000000000QUR
2025,M08,August,,2.0,,JTS000000000000000QUR
2025,M07,July,,2.0,,JTS000000000000000QUR
2025,M06,June,,2.1,,JTS000000000000000QUR
2025,M05,May,,2.1,,JTS000000000000000QUR
2025,M04,April,,2.0,,JTS000000000000000QUR
2025,M03,March,,2.2,,JTS000000000000000QUR
2025,M02,February,,2.0,,JTS000000000000000QUR
2025,M01,January,,2.0,,JTS000000000000000QUR
2024,M12,December,,1.9,,JTS000000000000000QUR
2024,M11,November,,1.9,,JTS000000000000000QUR
2024,M10,October,,2.0,,JTS000000000000000QUR
2024,M09,September,,2.0,,JTS000000000000000QUR
2024,M08,August,,2.1,,JTS000000000000000QUR
2024,M07,July,,2.1,,JTS000000000000000QUR
2024,M06,June,,2.1,,JTS000000000000000QUR
2024,M05,May,,2.1,,JTS000000000000000QUR
2024,M04,April,,2.2,,JTS000000000000000QUR
2024,M03,March,,2.1,,JTS000000000000000QUR
2024,M02,February,,2.2,,JTS000000000000000QUR
2024,M01,January,,2.1,,JTS000000000000000QUR
2023,M12,December,,2.2,,JTS000000000000000QUR
2023,M11,November,,2.3,,JTS000000000000000QUR
2023,M10,October,,2.3,,JTS000000000000000QUR
2023,M09,September,,2.3,,JTS000000000000000QUR
2023,M08,August,,2.3,,JTS000000000000000QUR
2023,M07,July,,2.3,,JTS000000000000000QUR
2023,M06,June,,2.4,,JTS000000000000000QUR
2023,M05,May,,2.6,,JTS000000000000000QUR
2023,M04,April,,2.3,,JTS000000000000000QUR
2023,M03,March,,2.4,,JTS000000000000000QUR
2023,M02,February,,2.5,,JTS000000000000000QUR
2023,M01,January,,2.5,,JTS000000000000000QUR
2022,M12,December,,2.7,,JTS000000000000000QUR
2022,M11,November,,2.6,,JTS000000000000000QUR
2022,M10,October,,2.6,,JTS000000000000000QUR
2022,M09,September,,2.7,,JTS000000000000000QUR
2022,M08,August,,2.8,,JTS000000000000000QUR
2022,M07,July,,2.6,,JTS000000000000000QUR
2022,M06,June,,2.7,,JTS000000000000000QUR
2022,M05,May,,2.8,,JTS000000000000000QUR
2022,M04,April,,3.0,,JTS000000000000000QUR
2022,M03,March,,2.9,,JTS000000000000000QUR
2022,M02,February,,2.8,,JTS000000000000000QUR
2022,M01,January,,2.9,,JTS000000000000000QUR
2021,M12,December,,2.9,,JTS000000000000000QUR
2021,M11,November,,3.0,,JTS000000000000000QUR
2021,M10,October,,2.8,,JTS000000000000000QUR
2021,M09,September,,2.9,,JTS000000000000000QUR
2021,M08,August,,2.8,,JTS000000000000000QUR
2021,M07,July,,2.8,,JTS000000000000000QUR
2021,M06,June,,2.8,,JTS000000000000000QUR
2021,M05,May,,2.6,,JTS000000000000000QUR
2021,M04,April,,2.7,,JTS000000000000000QUR
2021,M03,March,,2.5,,JTS000000000000000QUR
2021,M02,February,,2.4,,JTS000000000000000QUR
2021,M01,January,,2.3,,JTS000000000000000QUR
2020,M12,December,,2.4,,JTS000000000000000QUR
2020,M11,November,,2.2,,JTS000000000000000QUR
2020,M10,October,,2.3,,JTS000000000000000QUR
2020,M09,September,,2.2,,JTS000000000000000QUR
2020,M08,August,,2.1,,JTS000000000000000QUR
2020,M07,July,,2.2,,JTS000000000000000QUR
2020,M06,June,,1.9,,JTS000000000000000QUR
2020,M05,May,,1.7,,JTS000000000000000QUR
2020,M04,April,,1.5,,JTS000000000000000QUR
2020,M03,March,,1.9,,JTS000000000000000QUR
2020,M02,February,,2.3,,JTS000000000000000QUR
2020,M01,January,,2.3,,JTS000000000000000QUR
2019,M12,December,,2.3,,JTS000000000000000QUR
2019,M11,November,,2.3,,JTS000000000000000QUR
2019,M10,October,,2.3,,JTS000000000000000QUR
2019,M09,September,,2.3,,JTS000000000000000QUR
2019,M08,August,,2.3,,JTS000000000000000QUR
2019,M07,July,,2.4,,JTS000000000000000QUR
2019,M06,June,,2.3,,JTS000000000000000QUR
2019,M05,May,,2.3,,JTS000000000000000QUR
2019,M04,April,,2.3,,JTS000000000000000QUR
2019,M03,March,,2.3,,JTS000000000000000QUR
2019,M02,February,,2.4,,JTS000000000000000QUR
2026,M04,April,true,1.1,P,JTS000000000000000LDR
2026,M03,March,,1.2,,JTS000000000000000LDR
2026,M02,February,,1.1,,JTS000000000000000LDR
2026,M01,January,,1.0,,JTS000000000000000LDR
2025,M12,December,,1.1,,JTS000000000000000LDR
2025,M11,November,,1.0,,JTS000000000000000LDR
2025,M10,October,,1.2,,JTS000000000000000LDR
2025,M09,September,,1.1,,JTS000000000000000LDR
2025,M08,August,,1.2,,JTS000000000000000LDR
2025,M07,July,,1.1,,JTS000000000000000LDR
2025,M06,June,,1.2,,JTS000000000000000LDR
2025,M05,May,,1.1,,JTS000000000000000LDR
2025,M04,April,,1.1,,JTS000000000000000LDR
2025,M03,March,,1.0,,JTS000000000000000LDR
2025,M02,February,,1.2,,JTS000000000000000LDR
2025,M01,January,,1.1,,JTS000000000000000LDR
2024,M12,December,,1.1,,JTS000000000000000LDR
2024,M11,November,,1.2,,JTS000000000000000LDR
2024,M10,October,,1.0,,JTS000000000000000LDR
2024,M09,September,,1.1,,JTS000000000000000LDR
2024,M08,August,,1.1,,JTS000000000000000LDR
2024,M07,July,,1.1,,JTS000000000000000LDR
2024,M06,June,,0.9,,JTS000000000000000LDR
2024,M05,May,,1.1,,JTS000000000000000LDR
2024,M04,April,,1.0,,JTS000000000000000LDR
2024,M03,March,,1.0,,JTS000000000000000LDR
2024,M02,February,,1.1,,JTS000000000000000LDR
2024,M01,January,,1.0,,JTS000000000000000LDR
2023,M12,December,,1.1,,JTS000000000000000LDR
2023,M11,November,,1.0,,JTS000000000000000LDR
2023,M10,October,,1.0,,JTS000000000000000LDR
2023,M09,September,,1.0,,JTS000000000000000LDR
2023,M08,August,,1.1,,JTS000000000000000LDR
2023,M07,July,,1.1,,JTS000000000000000LDR
2023,M06,June,,1.1,,JTS000000000000000LDR
2023,M05,May,,1.0,,JTS000000000000000LDR
2023,M04,April,,1.1,,JTS000000000000000LDR
2023,M03,March,,1.2,,JTS000000000000000LDR
2023,M02,February,,1.0,,JTS000000000000000LDR
2023,M01,January,,1.1,,JTS000000000000000LDR
2022,M12,December,,1.0,,JTS000000000000000LDR
2022,M11,November,,1.0,,JTS000000000000000LDR
2022,M10,October,,1.0,,JTS000000000000000LDR
2022,M09,September,,0.9,,JTS000000000000000LDR
2022,M08,August,,1.0,,JTS000000000000000LDR
2022,M07,July,,1.0,,JTS000000000000000LDR
2022,M06,June,,1.0,,JTS000000000000000LDR
2022,M05,May,,1.0,,JTS000000000000000LDR
2022,M04,April,,0.9,,JTS000000000000000LDR
2022,M03,March,,0.9,,JTS000000000000000LDR
2022,M02,February,,0.9,,JTS000000000000000LDR
2022,M01,January,,0.9,,JTS000000000000000LDR
2021,M12,December,,0.9,,JTS000000000000000LDR
2021,M11,November,,0.9,,JTS000000000000000LDR
2021,M10,October,,0.9,,JTS000000000000000LDR
2021,M09,September,,1.0,,JTS000000000000000LDR
2021,M08,August,,0.9,,JTS000000000000000LDR
2021,M07,July,,1.0,,JTS000000000000000LDR
2021,M06,June,,0.9,,JTS000000000000000LDR
2021,M05,May,,0.9,,JTS000000000000000LDR
2021,M04,April,,1.0,,JTS000000000000000LDR
2021,M03,March,,1.0,,JTS000000000000000LDR
2021,M02,February,,1.1,,JTS000000000000000LDR
2021,M01,January,,1.1,,JTS000000000000000LDR
2020,M12,December,,1.3,,JTS000000000000000LDR
2020,M11,November,,1.5,,JTS000000000000000LDR
2020,M10,October,,1.2,,JTS000000000000000LDR
2020,M09,September,,1.1,,JTS000000000000000LDR
2020,M08,August,,1.1,,JTS000000000000000LDR
2020,M07,July,,1.3,,JTS000000000000000LDR
2020,M06,June,,1.6,,JTS000000000000000LDR
2020,M05,May,,1.6,,JTS000000000000000LDR
2020,M04,April,,7.0,,JTS000000000000000LDR
2020,M03,March,,8.6,,JTS000000000000000LDR
2020,M02,February,,1.3,,JTS000000000000000LDR
2020,M01,January,,1.2,,JTS000000000000000LDR
2019,M12,December,,1.3,,JTS000000000000000LDR
2019,M11,November,,1.2,,JTS000000000000000LDR
2019,M10,October,,1.2,,JTS000000000000000LDR
2019,M09,September,,1.3,,JTS000000000000000LDR
2019,M08,August,,1.2,,JTS000000000000000LDR
2019,M07,July,,1.2,,JTS000000000000000LDR
2019,M06,June,,1.2,,JTS000000000000000LDR
2019,M05,May,,1.2,,JTS000000000000000LDR
2019,M04,April,,1.3,,JTS000000000000000LDR
2019,M03,March,,1.1,,JTS000000000000000LDR
2019,M02,February,,1.2,,JTS000000000000000LDR
